population,responder_subject_n,non_responder_subject_n,responder_mean_percentage,non_responder_mean_percentage,mean_difference,t_statistic,p_value,adjusted_p_value,significant
b_cell,331,325,9.797553,9.996320,-0.198767,-1.397563,0.1627184860,0.2740426180,no
cd8_t_cell,331,325,24.881932,24.943924,-0.061993,-0.296988,0.7665716264,0.7665716264,no
cd4_t_cell,331,325,30.537808,29.902262,0.635547,2.849632,0.0045149775,0.0225748876,yes
nk_cell,331,325,14.840944,15.073166,-0.232222,-1.391921,0.1644255708,0.2740426180,no
monocyte,331,325,19.941763,20.084328,-0.142565,-0.751925,0.4523751462,0.5654689327,no
